id;acronym;business_code;hierarchical_level;name;description;business_handler_clazz;main_contact_person_details_json;technical_environments_details_json;custom_attributes_details_json;organization_status;activation_status;logo_img;logo_img_content_type;tenant_id;type_of_organization_id
1;toad huzzah drat;hatchling;duh in-laws;even hmph;round before;yet;vastly hex;drat;interface wherever beneath;PENDENT;INVALID;../fake-data/blob/hipster.png;image/png;1;1
2;excepting pound glar;buzzing frantic;as;establish likewise;um up foreigner;sharp likely reinforce;eyeglasses strike when;breath delimit considering;psst;PENDENT;INACTIVE;../fake-data/blob/hipster.png;image/png;2;2
3;once;beneath mountai;snob;but discompose;meh noisily;where whenever unless;afore memorize near;wisely;before well-off;ONBOARDING;BLOCKED;../fake-data/blob/hipster.png;image/png;3;3
4;harpoon within;thoroughly flip;why once;embellished sow;spouse;sprinter knowledgeably;zowie;courageously;until realistic majestically;WORKING;ON_HOLD;../fake-data/blob/hipster.png;image/png;4;4
5;tutu;throughout;solidly zowie;phew kookily duh;lest now;um;likewise remorseful;sorrow wobbly;in till;PENDENT;ACTIVE;../fake-data/blob/hipster.png;image/png;5;5
6;gratefully;shipyard;yum;apropos athletics prompt;democrat though;or gosh yahoo;since foot;after power lest;oddly growing;READY_TO_START;INVALID;../fake-data/blob/hipster.png;image/png;6;6
7;appropriate;fatally adjure ;inasmuch upwardly castanet;excitedly;circa inquisitively;ripe;lavish;stain heritage;alongside;ONBOARDING;ACTIVE;../fake-data/blob/hipster.png;image/png;7;7
8;sizzle;irrigate;extort ha yuck;um sudden;sympathetically old-fashioned whenever;calm;eek wholly long;lest where;near;WORKING;INACTIVE;../fake-data/blob/hipster.png;image/png;8;8
9;blah exasperate;fete till;overjoyed until;which gosh amazing;all;usefully keenly haze;orderly;careless usually;intercede likewise studious;IN_FAILURE;BLOCKED;../fake-data/blob/hipster.png;image/png;9;9
10;courier;nor;wholly;tightly;opposite;aromatic;ick;glossy measly geez;ugh yuck;WORKING;ON_HOLD;../fake-data/blob/hipster.png;image/png;10;10
